instrument,instrument_gnd_id,instrumentation_has_orchestra,instrumentation_has_choir,instrumentation_instrumental_soloists,instrumentation_vocal_soloists,work_generic_title,work_gnd_id,work_title_instrument,work_title_number,work_tonality,composer_name,composer_date_of_birth,composer_date_of_death,composer_place_of_birth,composer_place_of_death,composer_place_of_activity,composer_geographic_area_code,published_subitem_publisher_number,published_subitem_part,published_subitem_voice,published_subitem_is_piano_reduction,published_subitem_piano_reduction_type,print_uid,print_quantity,print_date,print_type,print_inferred,print_certain
Orchester,4172708-3,1,0,Querflöte,,Polonaisen,1217666729,Orchester,,D-Dur,"Jürgens, Wilhelm",NA,1814-02-01,Riga,Leipzig,Leipzig,XA-DE,00062,NN,N,0,,144,25,1810-12-21,print,0,1
Orchester,4172708-3,1,0,Querflöte,,Polonaisen,1217666729,Orchester,,D-Dur,"Jürgens, Wilhelm",NA,1814-02-01,Riga,Leipzig,Leipzig,XA-DE,00062,NN,N,0,,145,100,1808-12-10,print,0,1
Orchester,4172708-3,1,0,,,Leonora ossia L'amor conjugale,1212635132,,,C-Dur,"Paër, Ferdinando",1771-07-01,1839-05-03,Parma,Paris,,"XA-DE, XA-IT, XA-FR",00039,NN,N,0,,74,150,1808-08-06,print,0,1
Orchester,4172708-3,1,0,,,Leonora ossia L'amor conjugale,1212635132,,,C-Dur,"Paër, Ferdinando",1771-07-01,1839-05-03,Parma,Paris,,"XA-DE, XA-IT, XA-FR",00682,NN,KA,0,,60255,300,1819-12-22,print,0,1
Orchester,4172708-3,1,0,,,Das Waisenhaus,1217738134,,,,"Weigl, Joseph",1766-03-29,1846-02-03,Eisenstadt,Wien,,XA-AT,00084,NN,N,1,,215,200,1819-12-22,print,0,1
Orchester,4172708-3,1,0,,,Das Waisenhaus,1217738134,,,,"Weigl, Joseph",1766-03-29,1846-02-03,Eisenstadt,Wien,,XA-AT,00084,NN,N,1,,217,100,1809-04-08,print,0,1
Orchester,4172708-3,1,0,,,Das Waisenhaus,1217738134,,,,"Weigl, Joseph",1766-03-29,1846-02-03,Eisenstadt,Wien,,XA-AT,00084,NN,N,1,,218,50,1809-07-01,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00022,NN,N,0,,958,100,1858-11-11,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00022,NN,N,0,,959,25,1868-05-30,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00022,NN,N,0,,960,50,1871-11-27,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26488,600,1875-02-12,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26489,200,1880-07-07,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26490,100,1882-12-02,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26491,200,1884-02-11,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26492,200,1887-04-30,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26494,100,1891-11-30,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26496,100,1892-04-29,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26497,100,1894-01-27,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26498,200,1894-11-01,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26499,100,1895-12-18,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26500,100,1906-06-30,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26501,100,1910-01-03,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00818,NN,N,1,,26502,200,1911-01-30,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27331,150,1876-02-25,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27333,100,1877-11-29,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27334,200,1885-02-02,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27346,100,1892-09-17,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27352,200,1894-04-11,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27355,200,1894-04-04,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27356,200,1894-06-08,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27359,200,1895-10-05,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27360,100,1899-01-30,print,0,1
Orchester,4172708-3,1,1,,Vokalsolisten,Roméo et Juliette,300019386,,,,"Berlioz, Hector",1803-12-11,1869-03-08,La Côte-Saint-André,Paris,Rom,XA-FR,00875,NN,Coro1EStS,0,,27361,100,1909-10-22,print,0,1
